,X1.x,Site,Bearing,Point,Litter.Cover,Litter.Depth.OG,Litter.Depth,Undergrowth,1 to 5,6 to 30,31 to 100,101 to 200,Growth..2m,Canopy.Cover,Notes,Recorder,Longitude,Latitude,Elevation,Location,Formation,Fire,Treatment,X1.y,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X188,X189,X190,X191,X192,X193,X194,X195,X196,X197,X198,X199,X200,ind,X,Ground.Row.names,Ground.X1.x,Ground.Site,Ground.Bearing,Ground.Point,Ground.Litter.Cover,Ground.Litter.Depth.OG,Ground.Litter.Depth,Ground.Undergrowth,Ground.Growth..2m,Ground.Canopy.Cover,Ground.Notes,Ground.Recorder,Ground.Longitude,Ground.Latitude,Ground.Elevation,Ground.Location,Ground.Formation,Ground.Fire,Ground.Treatment,Ground.X1.y,Ground.X2,Ground.X3,Ground.X4,Ground.X5,Ground.X6,Ground.X7,Ground.X8,Ground.X9,Ground.X10,Ground.X11,Ground.X12,Ground.X13,Ground.X14,Ground.X15,Ground.X16,Ground.X17,Ground.X18,Ground.X19,Ground.X20,Ground.X21,Ground.X22,Ground.X23,Ground.X24,Ground.X25,Ground.X26,Ground.X27,Ground.X28,Ground.X29,Ground.X30,Ground.X31,Ground.X32,Ground.X33,Ground.X34,Ground.X35,Ground.X36,Ground.X37,Ground.X38,Ground.X39,Ground.X40,Ground.X41,Ground.X42,Ground.X43,Ground.X44,Ground.X45,Ground.X46,Ground.X47,Ground.X48,Ground.X49,Ground.X50,Ground.X51,Ground.X52,Ground.X53,Ground.X54,Ground.X55,Ground.X56,Ground.X57,Ground.X58,Ground.X59,Ground.X60,Ground.X61,Ground.X62,Ground.X63,Ground.X64,Ground.X65,Ground.X66,Ground.X67,Ground.X68,Ground.X69,Ground.X70,Ground.X71,Ground.X72,Ground.X73,Ground.X74,Ground.X75,Ground.X76,Ground.X77,Ground.X78,Ground.X79,Ground.X80,Ground.X81,Ground.X82,Ground.X83,Ground.X84,Ground.X85,Ground.X86,Ground.X87,Ground.X88,Ground.X89,Ground.X90,Ground.X91,Ground.X92,Ground.X93,Ground.X94,Ground.X95,Ground.X96,Ground.X97,Ground.X98,Ground.X99,Ground.X100,Ground.X101,Ground.X102,Ground.X103,Ground.X104,Ground.X105,Ground.X106,Ground.X108,Ground.X109,Ground.X110,Ground.X111,Ground.X112,Ground.X113,Ground.X114,Ground.X115,Ground.X116,Ground.X117,Ground.X118,Ground.X119,Ground.X120,Ground.X121,Ground.X122,Ground.X123,Ground.X124,Ground.X126,Ground.X127,Ground.X128,Ground.X129,Ground.X130,Ground.X131,Ground.X132,Ground.X133,Ground.X134,Ground.X135,Ground.X136,Ground.X137,Ground.X138,Ground.X139,Ground.X140,Ground.X141,Ground.X142,Ground.X143,Ground.X144,Ground.X145,Ground.X146,Ground.X147,Ground.X148,Ground.X149,Ground.X150,Ground.X151,Ground.X152,Ground.X153,Ground.X154,Ground.X155,Ground.X156,Ground.X157,Ground.X158,Ground.X159,Ground.X160,Ground.X161,Ground.X162,Ground.X163,Ground.X164,Ground.X165,Ground.X166,Ground.X167,Ground.X168,Ground.X169,Ground.X170,Ground.X171,Ground.X172,Ground.X173,Ground.X174,Ground.X175,Ground.X176,Ground.X177,Ground.X178,Ground.X179,Ground.X180,Ground.X181,Ground.X182,Ground.X183,Ground.X184,Ground.X185,Ground.X186,Ground.X187,Ground.X188,Ground.X189,Ground.X190,Ground.X191,Ground.X192,Ground.X193,Ground.X194,Ground.X195,Ground.X196,Ground.X197,Ground.X198,Ground.X199,Ground.X200,Ground.ind,Ground.X,Ground.Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,1528,GI-US-04,West,20,100,29,24,,0,0,0,0,5.2,90,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,1527,1527,1528,GI-US-04,West,20,100,29,24,,5.2,90,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,1527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1529,GI-US-04,West,15,100,30,25,"6, 13, 26",0,3,0,0,15.8,20,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,1528,1528,1529,GI-US-04,West,15,100,30,25,6,13,26,15.8,20,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,1528,0,,,,,,,,,,,,,,,,,,,,,,,,,
590,1530,GI-US-04,West,10,90,23,18,10,0,1,0,0,17.2,20,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,1529,1529,1530,GI-US-04,West,10,90,23,18,10,17.2,20,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,1529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,154,TC-UR-03,South,30,100,42,37,,0,0,0,0,5,100,,,153.3139,-28.56374,217.431,Terania Creek,Rainforest,Unburnt,RainforestUnburnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,153,154,TC-UR-03,South,30,100,42,37,,5,100,,,153.3139,-28.56374,217.431,Terania Creek,Rainforest,Unburnt,RainforestUnburnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,1531,GI-US-04,West,5,100,26,21,,0,0,0,0,15.8,10,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,1530,1530,1531,GI-US-04,West,5,100,26,21,,15.8,10,,,152.2638,-28.91281,676.564,Girard State Forest,Dry Sclerophyll,Unburnt,Dry SclerophyllUnburnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,1530,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,1532,GI-BS-05,North,50,80,29,24,"1, 2, 3, 4, 5",5,0,0,0,6.5,30,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,1531,1531,1532,GI-BS-05,North,50,80,29,24,1,2,3,4,5,6.5,30,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531,1531,0,,,,,,,,,,,,,,,,,,,,,,,
594,1533,GI-BS-05,North,45,100,26,21,"9, 20",0,2,0,0,5.8,40,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,1532,1532,1533,GI-BS-05,North,45,100,26,21,9,20,5.8,40,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532,1532,0,,,,,,,,,,,,,,,,,,,,,,,,,,
595,1534,GI-BS-05,North,40,20,19,14,,0,0,0,0,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,1533,1533,1534,GI-BS-05,North,40,20,19,14,,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,1533,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,1535,GI-BS-05,North,35,30,20,15,"1, 7",1,1,0,0,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1534,1534,1535,GI-BS-05,North,35,30,20,15,1,7,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1534,0,,,,,,,,,,,,,,,,,,,,,,,,,,
597,1536,GI-BS-05,North,30,20,22,17,,0,0,0,0,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,1535,1535,1536,GI-BS-05,North,30,20,22,17,,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,1535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1537,GI-BS-05,North,25,30,15,10,"14, 15, 20",0,3,0,0,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,1536,1536,1537,GI-BS-05,North,25,30,15,10,14,15,20,NA,0,,,152.2664,-28.90999,653.914,Girard State Forest,Dry Sclerophyll,Burnt,Dry SclerophyllBurnt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,1536,0,,,,,,,,,,,,,,,,,,,,,,,,,
